-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                             
-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
  appPayment.controller.ts               |       0 |        0 |       0 |       0 | 1-98                                                                                          
  appPayment.schema.ts                   |     100 |     62.5 |     100 |     100 | 27-65                                                                                         
  appPayment.service.ts                  |    77.1 |    66.66 |   84.21 |   77.21 | 42-55,119,124,129-134,140,150-151,233                                                         
 src/modules/app-billing/plan            |   32.18 |    14.28 |    37.5 |   31.32 |                                                                                               
  plan.controller.ts                     |       0 |        0 |       0 |       0 | 1-113                                                                                         
  plan.service.ts                        |   49.12 |    15.62 |      60 |   47.27 | 29-63,82-97,132-168                                                                           
 src/modules/app-billing/subscription    |    9.35 |    11.75 |   10.93 |       9 |                                                                                               
  subscription-blocker.service.ts        |   31.03 |    28.18 |   33.33 |      30 | 51,63-96,115,128,134,149,160,170,180,195,228-232,248-252,267-271,282-286,297,320-594,613-620  
  subscription.controller.ts             |       0 |        0 |       0 |       0 | 1-267                                                                                         
  subscription.cron.ts                   |       0 |        0 |       0 |       0 | 1-168                                                                                         
  subscription.service.ts                |     3.3 |        7 |       0 |    2.91 | 34-1314                                                                                       
  subscription.util.ts                   |   53.84 |    31.81 |     100 |   53.84 | 28-33                                                                                         
 src/modules/attendance                  |   22.77 |    31.85 |   22.72 |   23.28 |                                                                                               
  attendance.controller.ts               |       0 |        0 |       0 |       0 | 1-70                                                                                          
  attendance.module.ts                   |       0 |      100 |       0 |       0 | 1-36                                                                                          
  attendance.schema.ts                   |       0 |        0 |     100 |       0 | 6-55                                                                                          
  attendance.service.ts                  |   33.09 |    35.64 |   41.66 |   33.33 | 40-43,60,80,92-279,294,322-369                                                                
 src/modules/auth                        |    9.96 |    10.68 |    9.09 |    9.28 |                                                                                               
  auth.controller.ts                     |       0 |        0 |       0 |       0 | 17-482                                                                                        
  auth.dto.ts                            |       0 |      100 |     100 |       0 | 1-173                                                                                         
  auth.module.ts                         |       0 |      100 |       0 |       0 | 1-68                                                                                          
  auth.service.ts                        |   20.18 |       18 |   22.72 |   19.23 | 45-250,264-284,308,318-323,331-668,686-702                                                    
  jwt-auth.guard.ts                      |       0 |        0 |       0 |       0 | 1-46                                                                                          
  otp.service.ts                         |   10.47 |    23.07 |       0 |    8.82 | 12-314                                                                                        
 src/modules/auth/decorators             |       0 |        0 |       0 |       0 |                                                                                               
  get-user.decorator.ts                  |       0 |        0 |       0 |       0 | 1-8                                                                                           
 src/modules/chargily                    |       0 |        0 |       0 |       0 |                                                                                               
  chargily.controller.ts                 |       0 |        0 |       0 |       0 | 1-301                                                                                         
  chargily.module.ts                     |       0 |      100 |     100 |       0 | 1-14                                                                                          
  chargily.service.ts                    |       0 |        0 |       0 |       0 | 1-1108                                                                                        
 src/modules/coach                       |    4.54 |        5 |     3.7 |    4.23 |                                                                                               
  coach.controller.ts                    |       0 |        0 |       0 |       0 | 1-205                                                                                         
  coach.module.ts                        |       0 |      100 |       0 |       0 | 1-30                                                                                          
  coach.service.ts                       |    5.69 |      7.5 |    6.06 |    5.29 | 52-1396                                                                                       
 src/modules/coach/schemas               |       0 |        0 |     100 |       0 |                                                                                               
  coach-request.schema.ts                |       0 |        0 |     100 |       0 | 1-42                                                                                          
 src/modules/competition                 |   18.77 |    19.68 |     3.7 |   17.64 |                                                                                               
  competition.controller.ts              |       0 |        0 |       0 |       0 | 1-216                                                                                         
  competition.module.ts                  |       0 |      100 |     100 |       0 | 1-23                                                                                          
  competition.schema.ts                  |     100 |       65 |     100 |     100 | 29-52                                                                                         
  competition.service.ts                 |   12.17 |    15.18 |    6.25 |   10.71 | 36-399                                                                                        
 src/modules/dashboard                   |   11.34 |     8.69 |   11.11 |   10.22 |                                                                                               
  dashboard.controller.ts                |       0 |        0 |       0 |       0 | 1-69                                                                                          
  dashboard.module.ts                    |       0 |      100 |       0 |       0 | 1-19                                                                                          
  dashboard.service.ts                   |   18.64 |     10.9 |      25 |   16.36 | 32-198                                                                                        
 src/modules/dashboard/dto               |       0 |      100 |     100 |       0 |                                                                                               
  request-coach-access.dto.ts            |       0 |      100 |     100 |       0 | 1-22                                                                                          
 src/modules/exercises                   |   62.85 |    49.15 |   41.66 |   63.91 |                                                                                               
  exercises.controller.ts                |       0 |        0 |       0 |       0 | 1-90                                                                                          
  exercises.module.ts                    |       0 |      100 |     100 |       0 | 1-17                                                                                          
  exercises.schema.ts                    |     100 |       50 |     100 |     100 | 28-34                                                                                         
  exercises.service.ts                   |      86 |    71.42 |   83.33 |   85.41 | 26-30,39,43,63,70,75                                                                          
 src/modules/gym                         |   22.53 |    14.71 |    1.28 |   20.87 |                                                                                               
  gym.controller.ts                      |       0 |        0 |       0 |       0 | 1-396                                                                                         
  gym.module.ts                          |       0 |      100 |       0 |       0 | 1-32                                                                                          
  gym.schema.ts                          |   98.85 |    58.33 |       0 |   98.66 | 75                                                                                            
  gym.service.ts                         |    7.56 |     8.69 |    1.81 |    7.17 | 42-958                                                                                        
 src/modules/gym-announcement            |   15.38 |    19.35 |    5.88 |   15.58 |                                                                                               
  gym-announcement.controller.ts         |       0 |        0 |       0 |       0 | 1-70                                                                                          
  gym-announcement.module.ts             |       0 |      100 |     100 |       0 | 1-26                                                                                          
  gym-announcement.service.ts            |   23.33 |    27.27 |    9.09 |      24 | 37-164                                                                                        
 src/modules/gym-announcement/dto        |       0 |      100 |     100 |       0 |                                                                                               
  create-announcement.dto.ts             |       0 |      100 |     100 |       0 | 2-54                                                                                          
 src/modules/gym-announcement/schemas    |     100 |      100 |     100 |     100 |                                                                                               
  gym-announcement.schema.ts             |     100 |      100 |     100 |     100 |                                                                                               
 src/modules/gym-class                   |   13.58 |    10.09 |    2.56 |   12.68 |                                                                                               
  gymClass.controller.ts                 |       0 |        0 |       0 |       0 | 1-124                                                                                         
  gymClass.module.ts                     |       0 |      100 |     100 |       0 | 1-32                                                                                          
  gymClass.schema.ts                     |     100 |       75 |     100 |     100 | 30-118                                                                                        
  gymClass.service.ts                    |    6.05 |      8.5 |    3.57 |    5.62 | 39-1084                                                                                       
 src/modules/gym-coach                   |   14.54 |    16.89 |       8 |   14.01 |                                                                                               
  gym-coach.controller.ts                |       0 |        0 |       0 |       0 | 1-133                                                                                         
  gym-coach.module.ts                    |       0 |      100 |       0 |       0 | 1-42                                                                                          
  gym-coach.service.ts                   |   20.51 |       25 |   13.33 |   19.46 | 55-474                                                                                        
 src/modules/gym-coach-payment           |   16.66 |     12.5 |   14.28 |      15 |                                                                                               
  gym-coach-payment.controller.ts        |       0 |        0 |       0 |       0 | 1-30                                                                                          
  gym-coach-payment.module.ts            |       0 |      100 |     100 |       0 | 1-20                                                                                          
  gym-coach-payment.service.ts           |   29.62 |       15 |      25 |   26.08 | 20-141                                                                                        
 src/modules/gym-coach-payment/dto       |       0 |      100 |     100 |       0 |                                                                                               
  create-payment.dto.ts                  |       0 |      100 |     100 |       0 | 7                                                                                             
 src/modules/gym-coach-payment/schemas   |     100 |    80.76 |     100 |     100 |                                                                                               
  gym-coach-payment.schema.ts            |     100 |    80.76 |     100 |     100 | 30-82                                                                                         
 src/modules/gym-coach/schemas           |     100 |    77.27 |     100 |     100 |                                                                                               
  gym-coach-affiliation.schema.ts        |     100 |    77.27 |     100 |     100 | 17-60                                                                                         
 src/modules/gym-membership              |    8.84 |     7.76 |       5 |    9.15 |                                                                                               
  membership.controller.ts               |       0 |        0 |       0 |       0 | 2-636                                                                                         
  membership.cron.ts                     |       0 |        0 |       0 |       0 | 1-325                                                                                         
  membership.module.ts                   |       0 |      100 |     100 |       0 | 1-47                                                                                          
  membership.schema.ts                   |       0 |        0 |       0 |       0 | 7-103                                                                                         
